相変わらず - あいかわらず	[Adverb, No-adjective] 1. as ever; as usual; the same; still | Other forms: 相変らず 【あいかわらず】、あい変らず 【あいかわらず】、あい変わらず 【あいかわらず】
アイデア - アイデア	[Noun] 1. idea | Other forms: アイディア、アィディア [Notes] アイデア: gai1, ichi1. アイディア: gai1.
曖昧 - あいまい	[Na-adjective, Noun] 1. vague; ambiguous; unclear 2. fuzzy {Mathematics, Computer terminology} | Other forms: あい昧 【あいまい】
会う - あう	[Godan verb with u ending, intransitive verb] 1. to meet; to encounter; to see {逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance} 2. to have an accident; to have a bad experience {Usually written using kana alone, esp. 遭う when in kanji} | Other forms: 逢う 【あう】、遭う 【あう】、遇う 【あう】
扇ぐ - あおぐ	[Godan verb with gu ending, Transitive verb] 1. to fan 2. to incite; to instigate | Other forms: 煽ぐ 【あおぐ】
扇ぐ - あおぐ	[Godan verb with gu ending, Transitive verb] 1. to fan 2. to incite; to instigate | Other forms: 煽ぐ 【あおぐ】
青白い - あおじろい	[I-adjective] 1. pale; pallid 2. bluish-white | Other forms: 蒼白い 【あおじろい】、青じろい 【あおじろい】
赤ん坊 - あかんぼう	[Noun] 1. baby; infant | Other forms: 赤ん坊 【あかんぼ】
空き - あき	[Noun] 1. space; room; emptiness; gap 2. opening; vacancy; empty seat 3. free time; time to spare 4. disuse; unused thing | Other forms: 明き 【あき】
呆れる - あきれる	[Ichidan verb, intransitive verb] 1. to be amazed; to be shocked; to be astonished; to be astounded; to be disgusted; to be exasperated | Other forms: 惘れる 【あきれる】
アクセント - アクセント	[Noun] 1. accent (in language) 2. stress; highlight; accent
欠伸 - あくび	[Noun] 1. yawn; yawning {Usually written using kana alone} 2. kanji "yawning" radical (radical 76) {Only applies to 欠} | Other forms: 欠 【あくび】、欠伸 【けんしん】
飽くまで - あくまで	[Adverb] 1. to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost {Usually written using kana alone} 2. after all; it must be remembered; only; purely; simply {Usually written using kana alone} | Other forms: 飽く迄 【あくまで】
明け方 - あけがた	[Adverbial noun, Temporal noun] 1. dawn {See also 夕方} | Other forms: 明方 【あけがた】、明けがた 【あけがた】
上げる - あげる	[Ichidan verb, Transitive verb] 1. to raise; to elevate {See also 手を挙げる} 2. to do up (one's hair) {See also 髪を上げる} 3. to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.) 4. to land (a boat) 5. to deep-fry {Only applies to 揚げる} 6. to show someone (into a room) 7. to summon (for geishas, etc.) {Usually written using kana alone, Only applies to 揚げる} 8. to send someone (away) 9. to enrol (one's child in school); to enroll 10. to increase (price, quality, status, etc.); to develop (talent, skill); to improve 11. to make (a loud sound); to raise (one's voice) {See also 声を上げる} 12. to earn (something desirable) 13. to praise 14. to give (an example, etc.); to cite {usu. 挙げる} 15. to summon up (all of one's energy, etc.) {usu. 挙げる} 16. to arrest {Only applies to 挙げる} 17. to nominate {Only applies to 挙げる} 18. to give {Polite (teineigo)} 19. to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) 20. to bear (a child) 21. to conduct (a ceremony, esp. a wedding) {usu. 挙げる} [Ichidan verb, intransitive verb] 22. (of the tide) to come in [Ichidan verb, intransitive verb, Transitive verb] 23. to vomit [Auxiliary verb, Ichidan verb] 24. to do for (the sake of someone else) {Usually written using kana alone, Polite (teineigo), after the -te form of a verb} 25. to complete ... {See also 作り上げる, after the -masu stem of a verb} 26. to humbly do ... {Humble (kenjougo), See also 申し上げる, after the -masu stem of a humble verb to increase the level of humility} | Other forms: 挙げる 【あげる】、揚げる 【あげる】
憧れる - あこがれる	[Ichidan verb, intransitive verb] 1. to long for; to yearn after; to admire; to be attracted by | Other forms: 憬れる 【あこがれる】、憧憬れる 【あこがれる】
足跡 - あしあと	[Noun] 1. footprints 2. record of page visitors (e.g. in social networking sites) {Computer terminology} | Other forms: 足あと 【あしあと】、足跡 【そくせき】
味わう - あじわう	[Godan verb with u ending, Transitive verb] 1. to taste; to savor; to savour; to relish 2. to appreciate; to enjoy; to relish; to digest 3. to taste; to experience; to undergo; to endure
預かる - あずかる	[Godan verb with ru ending, Transitive verb] 1. to look after; to take care of; to keep; to hold on to; to keep in custody {See also 預ける} 2. to take charge of; to be entrusted with; to receive on deposit 3. to reserve (judgment); to leave undecided
温める - あたためる	[Ichidan verb, Transitive verb] 1. to warm; to heat | Other forms: 温める 【あっためる】、暖める 【あたためる】、暖める 【あっためる】、温める 【ぬくめる】 [Notes] ぬくめる: Out-dated or obsolete kana usage.
当たり前 - あたりまえ	[Na-adjective, Noun, No-adjective] 1. natural; reasonable; obvious 2. usual; common; ordinary; commonplace; the norm | Other forms: 当り前 【あたりまえ】、あたり前 【あたりまえ】、当りまえ 【あたりまえ】
彼方此方 - あちこち	[Adverb, Pronoun] 1. here and there; all around; everywhere; throughout; all over {Usually written using kana alone} [Suru verb] 2. to get things in the wrong order (back to front); to become muddled up {Usually written using kana alone, Only applies to あちこち, Only applies to あちらこちら, Only applies to あっちこっち, Only applies to アチコチ} | Other forms: 彼方此方 【あちらこちら】、彼方此方 【あっちこっち】、彼方此方 【かなたこなた】、彼方此方 【あなたこなた】、アチコチ [Notes] あなたこなた: Out-dated or obsolete kana usage.
厚かましい - あつかましい	[I-adjective] 1. impudent; shameless; brazen [Notes] あつかましい: ichi1. 厚かましい: ichi1.
